OPE ID,School,Total Allocation ($),Minimum Allocation to be Awarded for Emergency Financial Aid Grants to Students ($),Address,Address with USA,Latitude,Longitude,Type,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate
927200,Crafton Hills College,"1,933,930.00","966,965.00","11711 Sand Canyon Road, Yucaipa, California 92339-1799","11711 Sand Canyon Road, Yucaipa, California 92339-1799, USA",34.0394226,-117.1050205,"2-year, Public",6749,6749,29%,7%
1111200,Fashion Institute Of Design & Merchandising,"1,931,729.00","965,865.00","919 S Grand Ave, Los Angeles, California 90015-1421","919 S Grand Ave, Los Angeles, California 90015-1421, USA",34.0441185,-118.2600399,"4-year, primarily associate's, Private for-profit",2227,2195,71%,
129300,Vanguard University Of Southern California,"1,879,831.00","939,916.00","55 Fair Dr, Costa Mesa, California 92626","55 Fair Dr, Costa Mesa, California 92626, USA",33.6632391,-117.9013021,"4-year, Private not-for-profit",2175,1920,59%,
134200,Whittier College,"1,879,550.00","939,775.00","13406 E Philadelphia Street, Whittier, California 90601","13406 E Philadelphia Street, Whittier, California 90601, USA",33.9788103,-118.0322988,"4-year, Private not-for-profit",1841,1776,72%,
2242700,Berkeley City College,"1,844,524.00","922,262.00","2050 Center Sreet, Berkeley, California 94704","2050 Center Sreet, Berkeley, California 94704, USA",37.8699525,-122.2696176,"2-year, Public",5644,5644,38%,18%
3639300,West Coast Ultrasound Institute,"1,805,882.00","902,941.00","3580 Wilshire Blvd., 4th Floor, Los Angeles, California 90010","3580 Wilshire Blvd., 4th Floor, Los Angeles, California 90010, USA",34.0611215,-118.3028158,"4-year, primarily associate's, Private for-profit",814,814,76%,
121800,Loma Linda University,"1,777,517.00","888,759.00","11139 Anderson Street, Loma Linda, California 92350","11139 Anderson Street, Loma Linda, California 92350, USA",34.0513315,-117.2607734,"4-year, Private not-for-profit",4462,1192,,
4118800,New York Film Academy,"1,739,271.00","869,636.00","3300 West Riverside Drive, Burbank, California 91505","3300 West Riverside Drive, Burbank, California 91505, USA",34.1519315,-118.3353736,"4-year, primarily associate's, Private for-profit",1892,1312,69%,
2070500,Concordia University,"1,723,598.00","861,799.00","1530 Concordia West, Irvine, California 92612-3203","1530 Concordia West, Irvine, California 92612-3203, USA",33.6545502,-117.8123154,"4-year, Private not-for-profit",3911,1738,63%,
4143800,Woodland Community College,"1,623,074.00","811,537.00","2300 E Gibson Rd, Woodland, California 95776","2300 E Gibson Rd, Woodland, California 95776, USA",38.6604322,-121.7352197,"2-year, Public",3774,3774,24%,9%
3427500,University Of Antelope Valley,"1,613,796.00","806,898.00","44055 Sierra Highway, Lancaster, California 93534","44055 Sierra Highway, Lancaster, California 93534, USA",34.6835278,-118.1349891,"4-year, primarily associate's, Private for-profit",814,762,67%,
2542300,National Holistic Institute,"1,602,448.00","801,224.00","5900 Doyle Street, Emeryville, California 94608-2008","5900 Doyle Street, Emeryville, California 94608-2008, USA",37.8420374,-122.2878068,"< 2-year, Private for-profit",1237,1237,69%,
111900,Barstow Community College,"1,556,808.00","778,404.00","2700 Barstow Road, Barstow, California 92311","2700 Barstow Road, Barstow, California 92311, USA",34.8703181,-117.0233643,"2-year, Public",3078,3078,27%,13%
3113600,Southern California Institute Of Technology,"1,535,401.00","767,701.00","525 N. Muller Street, Anaheim, California 92801-3758","525 N. Muller Street, Anaheim, California 92801-3758, USA",33.8380876,-117.9508031,"4-year, primarily associate's, Private for-profit",607,607,78%,1%
126700,Merritt College,"1,497,283.00","748,642.00","12500 Campus Dr, Oakland, California 94619-3196","12500 Campus Dr, Oakland, California 94619-3196, USA",37.7933608,-122.1668027,"2-year, Public",6857,6857,22%,13%
128100,William Jessup University,"1,486,736.00","743,368.00","2121 University Avenue, Rocklin, California 95765-3707","2121 University Avenue, Rocklin, California 95765-3707, USA",38.8205884,-121.291831,"4-year, Private not-for-profit",1743,1261,64%,
124900,Occidental College,"1,474,674.00","737,337.00","1600 Campus Rd, Los Angeles, California 90041-3392","1600 Campus Rd, Los Angeles, California 90041-3392, USA",34.1273185,-118.2101148,"4-year, Private not-for-profit",1985,1985,86%,11%
4228100,High Desert Medical College,"1,472,341.00","736,171.00","701 West Avenue K suite 123, Lancaster, California 93534","701 West Avenue K suite 123, Lancaster, California 93534, USA",34.676102,-118.1443145,"2-year, Private for-profit",704,704,71%,
1170700,North-West College,"1,406,776.00","703,388.00","2101 W Garvey Ave, West Covina, California 91790","2101 W Garvey Ave, West Covina, California 91790, USA",34.0720389,-117.9495675,"2-year, Private for-profit",700,700,37%,
2110200,Columbia College Hollywood,"1,405,837.00","702,919.00","18618 Oxnard St, Tarzana, California 91356-1411","18618 Oxnard St, Tarzana, California 91356-1411, USA",34.1794632,-118.5388957,"4-year, Private not-for-profit",870,870,49%,
112700,California College Of The Arts,"1,397,586.00","698,793.00","1111 Eighth Street, San Francisco, California 94107-2247","1111 Eighth Street, San Francisco, California 94107-2247, USA",37.7673765,-122.399486,"4-year, Private not-for-profit",1860,1466,64%,
3889300,Stanbridge University,"1,395,629.00","697,815.00","2041 Business Ctr Dr Ste 107, Irvine, California 92612","2041 Business Ctr Dr Ste 107, Irvine, California 92612, USA",33.6788752,-117.85765,"4-year, primarily associate's, Private for-profit",1364,1171,68%,
3542400,Copper Mountain College,"1,372,962.00","686,481.00","6162 Rotary Way, Joshua Tree, California 92252","6162 Rotary Way, Joshua Tree, California 92252, USA",34.1382233,-116.2124883,"2-year, Public",1533,1533,24%,17%
117800,College Of Marin,"1,347,945.00","673,973.00","835 College Ave, Kentfield, California 94904-2590","835 College Ave, Kentfield, California 94904-2590, USA",37.9561956,-122.5495907,"2-year, Public",5182,5182,35%,14%
1167200,Mendocino College,"1,309,837.00","654,919.00","1000 Hensley Creek Road, Ukiah, California 95482","1000 Hensley Creek Road, Ukiah, California 95482, USA",39.1886846,-123.2276344,"2-year, Public",3960,3960,26%,12%
117300,Pomona College,"1,285,644.00","642,822.00","550 N College Ave, Claremont, California 91711-6319","550 N College Ave, Claremont, California 91711-6319, USA",34.099078,-117.7145536,"4-year, Private not-for-profit",1637,1637,93%,
119600,Dominican University Of California,"1,244,783.00","622,392.00","50 Acacia Ave, San Rafael, California 94901-2298","50 Acacia Ave, San Rafael, California 94901-2298, USA",37.9798523,-122.5134504,"4-year, Private not-for-profit",1878,1460,70%,25%
563800,Downey Adult School,"1,232,716.00","616,358.00","12340 Woodruff Ave, Downey, California 90241","12340 Woodruff Ave, Downey, California 90241, USA",33.918252,-118.1159254,"2-year, Public",613,613,97%,
4057300,Asher College,"1,201,948.00","600,974.00","1215 Howe Ave Suite 101, Sacramento, California 95825","1215 Howe Ave Suite 101, Sacramento, California 95825, USA",38.5876501,-121.4156208,"2-year, Private for-profit",646,646,68%,6%
134300,Woodbury University,"1,199,479.00","599,740.00","7500 Glenoaks Blvd, Burbank, California 91504-1052","7500 Glenoaks Blvd, Burbank, California 91504-1052, USA",34.2076585,-118.3412543,"4-year, Private not-for-profit",1225,1108,54%,
4161800,Brandman University,"1,196,618.00","598,309.00","16355 Laguna Canyon Road, Irvine, California 92618","16355 Laguna Canyon Road, Irvine, California 92618, USA",33.6564199,-117.7691303,"4-year, Private not-for-profit",10231,6060,60%,40%
1291200,Mti College,"1,142,459.00","571,230.00","5221 Madison Avenue, Sacramento, California 95841-9817","5221 Madison Avenue, Sacramento, California 95841-9817, USA",38.6613956,-121.3424893,"2-year, Private for-profit",756,756,65%,
125800,Pacific Union College,"1,138,223.00","569,112.00","One Angwin Ave, Angwin, California 94508-9707","One Angwin Ave, Angwin, California 94508-9707, USA",38.5698777,-122.4394834,"4-year, Private not-for-profit",909,906,57%,30%
