"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"ABCO Technology","11222 S. La Cienega Blvd Ste 588, Inglewood, California 90304-1551","www.abcotechnology.edu","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","126","126","100%","NA","2016-17","$20,748","Computer Programming/Programmer, General","485500","04242600"
"Abraham Lincoln University","100 West Broadway, Suite 600, Glendale, California 91210","https://www.alu.edu/","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","No","225","54","NA","NA","Fall 2013","$13,773","-","488031","04243800"
"Academy for Salon Professionals","19520 Nordhoff St. Unit 9, Northridge, California 91324","www.academyla.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","82","82","74%","NA","2016-17","$12,892","Aesthetician/Esthetician and Skin Care Specialist","462062","04189800"
"Academy of Art University","79 New Montgomery, San Francisco, California 94105","www.academyart.edu","4-year, Private for-profit","Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","9812","6694","45%","14%","Fall 2013","$31,759","-","108232","00753100"
"Academy of Esthetics and Cosmetology","1242 San Fernando Rd, San Fernando, California 91340-3212","www.aecosmetology.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","39","39","72%","NA","2016-17","$10,495","Cosmetology/Cosmetologist, General","454722","04132400"
"Adrian's College of Beauty Turlock","1340 W Main St, Turlock, California 95380","www.adrians.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Small","No","90","90","74%","NA","2016-17","$16,080","Cosmetology/Cosmetologist, General","262369","02520400"
"Advance Beauty College","10121 Westminster Ave, Garden Grove, California 92843","www.advancebeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","507","507","92%","NA","2016-17","NA","Nail Technician/Specialist and Manicurist","400187","03736300"
"Advance Beauty Techs Academy","641 N State St Ste 1, San Jacinto, California 92583-6572","www.abt.edu/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","122","122","56%","NA","2016-17","$16,429","Barbering/Barber","479974","04206800"
"Advanced Career Institute","1728 North Kelsey Street, Visalia, California 93291","https://advanced.edu","< 2-year, Private for-profit","Less than one year certificate","City: Midsize","No","637","637","80%","NA","2016-17","$14,991","Truck and Bus Driver/Commercial Vehicle Operator and Instructor","480019","04208900"
"Advanced College","13180 Paramount Blvd., South Gate, California 90280","www.advancedcollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","25","25","51%","NA","Fall 2016","$23,915","Licensed Practical/Vocational Nurse Training","444343","03786300"
"Advanced College - Salida","5258 Pirrone Court, Salida, California 95368-9072","","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","","No","","","NA","NA","Fall 2016","NA","Licensed Practical/Vocational Nurse Training","44434302","03786302"
"Advanced College-Stockton","8838 North West Lane, Stockton, California 95120-3145","www.advancedcollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","","","NA","NA","Fall 2016","NA","Licensed Practical/Vocational Nurse Training","44434301","03786301"
"Alhambra Beauty College","200 W Main St, Alhambra, California 91801","alhambrabeauty.edu/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","129","129","76%","NA","2016-17","$16,555","Cosmetology/Cosmetologist, General","393524","02282300"
"Alhambra Medical University","2215 W. Mission Road, Alhambra, California 91803","www.amu.edu","4-year, Private for-profit","Master's degree","Suburb: Large","No","169","63","NA","NA","Fall 2013","NA","-","487995","04243100"
"Alliant International University-Fresno","5130 East Clinton Way, Fresno, California 93727-2014","www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","","","","NA","NA","Fall 2013","NA","-","11046801","01111707"
"Alliant International University-Irvine","Jamboree Business Center, 2855 Michelle Drive, Suite 300, Irvine, California 92606-1221","https://www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","","","","NA","NA","Fall 2013","NA","-","11046804","01111704"
"Alliant International University-Los Angeles","1000 South Fremont Ave, #5, Alhambra, California 91803-1221","https://www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","","","","NA","NA","Fall 2013","NA","-","11046802","01111705"
"Alliant International University-Sacramento","2030 West El Camino Ave., Suite 200, Sacramento, California 95833-1221","https://www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","","","","NA","NA","Fall 2013","NA","-","11046805","01111710"
"Alliant International University-San Diego","10455 Pomerado Road, San Diego, California 92131","https://www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","3536","631","16%","NA","Fall 2013","NA","-","110468","01111700"
"Alliant International University-San Francisco","1475 66th Street, Emeryville, California 94608-1221","https://www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","","","","NA","NA","Fall 2013","NA","-","11046803","01111706"
"American Beauty College","652 S. Sunset Ave, West Covina, California 91790","https://www.americanbeautycollege.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","92","92","48%","NA","2016-17","$9,579","Cosmetology/Cosmetologist, General","108977","01307400"
"American Career College-Anaheim","1200 N. Magnolia Ave., Anaheim, California 92801-0000","https://americancareercollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","1135","1135","74%","NA","Fall 2016","$24,414","Licensed Practical/Vocational Nurse Training","441052","02241801"
"American Career College-Los Angeles","4021 Rosewood Avenue, Los Angeles, California 90004","https://americancareercollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","1567","1567","64%","NA","Fall 2016","$18,863","Medical/Clinical Assistant","109040","02241800"
"American Career College-Ontario","3130 East Sedona Court, Ontario, California 91764","https://americancareercollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","1326","1326","67%","NA","Fall 2016","$26,005","Licensed Practical/Vocational Nurse Training","447768","03971300"
"American College of Healthcare and Technology","11801 Pierce St., Suite 100, Riverside, California 92505","www.ach.edu","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","83","83","85%","NA","Fall 2016","$17,650","Medical/Health Management and Clinical Assistant/Specialist","422835","03144400"
"American College of Healthcare and Technology","6330 Pacific Blvd Ste 201, Huntington Park, California 90255","www.ach.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","75","75","75%","NA","2016-17","$18,293","Medical/Health Management and Clinical Assistant/Specialist","483009","03144402"
"American Fitness and Nutrition Academy","350 South Lake Avenue, Pasadena, California 91101-3530","afna.edu","< 2-year, Private for-profit","Less than one year certificate","City: Midsize","No","17","17","86%","NA","2016-17","$17,825","Physical Fitness Technician","493503","04265600"
"American Institute of Massage Therapy","1516 Brookhollow Drive, Unit C, Santa Ana, California 92705-5401","www.aimtinc.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","36","36","93%","NA","2016-17","$24,562","Massage Therapy/Therapeutic Massage","447795","03962300"
"American Medical Sciences Center","225 West Broadway, Suite 410, Glendale, California 91204-5108","www.amsc.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Midsize","No","64","64","74%","NA","Fall 2016","$23,275","Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","461263","04159700"
"American University of Health Sciences","1600 East Hill St, Signal Hill, California 90755-3612","https://www.auhs.edu","4-year, Private for-profit","One but less than two years certificate|Bachelor's degree|Master's degree|Doctor's degree - professional practice","Suburb: Large","No","384","359","33%","NA","Fall 2013","$21,705","-","433004","03225300"
"Angeles College","3440 Wilshire Blvd Ste 310, Los Angeles, California 90010","https://www.angelescollege.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate|Bachelor's degree|Master's degree","City: Large","No","267","267","78%","NA","Fall 2013","$15,468","Licensed Practical/Vocational Nurse Training","457299","04160400"
"Angeles Institute","17100 PIONEER BLVD, SUITE 170, ARTESIA, California 90701-2713","www.angelesinstitute.edu/","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","84","84","29%","NA","2016-17","$25,171","Licensed Practical/Vocational Nurse Training","457314","04164400"
"Asher College","1215 Howe Ave Suite 101, Sacramento, California 95825","www.asher.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","646","646","68%","6%","Fall 2016","$19,086","Computer Support Specialist","447777","04057300"
"Ashford University","8620 Spectrum Center Boulevard, San Diego, California 92123","www.ashford.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","32620","26914","8%","18%","Fall 2013","$20,415","-","154022","00188100"
"Asian-American International Beauty College","7871 Westminster Blvd, Westminster, California 92683","www.aabeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","501","501","91%","NA","2016-17","NA","Nail Technician/Specialist and Manicurist","393861","02595600"
"Associated Barber College of San Diego","1333 5th Avenue, San Diego, California 92101-4210","sandiegobarbercollege.com","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","65","65","93%","NA","2016-17","$13,324","Barbering/Barber","485494","04242500"
"Associated Technical College-Los Angeles","1670 Wilshire Blvd, Los Angeles, California 90017-1604","www.atcla.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","335","335","52%","NA","2016-17","$22,633","Cardiovascular Technology/Technologist","109721","00902200"
"Associated Technical College-San Diego","2650 Camino Del Rio North, Ste. 100, San Diego, California 92108-1630","www.atcsd.edu","< 2-year, Private for-profit","Less than one year certificate","City: Large","No","85","85","72%","NA","2016-17","$23,019","Communications Technologies/Technicians and Support Services, Other","109730","02553500"
"ATA College","1810 Gillespie Way, Suite 104, El Cajon, California 92020","www.advancedtraining.edu","2-year, Private for-profit","Less than one year certificate|Associate's degree","Suburb: Large","No","82","82","93%","NA","Fall 2016","$12,745","Medical/Clinical Assistant","444361","03532400"
"ATI College-Norwalk","15141 Whittier Blvd Suite 420, Whitter, California 90603-0000","www.ati.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|Two but less than 4 years certificate|Bachelor's degree","Suburb: Large","No","23","23","78%","NA","Fall 2013","$24,322","Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","444325","03740400"
"Avalon School of Cosmetology-Alameda","2318 Central Avenue, Alameda, California 94501","avalon.edu/locations/alameda-ca/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","47","47","67%","NA","2016-17","$15,539","Aesthetician/Esthetician and Skin Care Specialist","108649","02258600"
"Aveda Institute-Los Angeles","10935 Weyburn Avenue, Los Angeles, California 90024-2808","https://www.nurturavedainstitutes.com/los-angeles","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","168","168","70%","NA","2016-17","$17,366","Aesthetician/Esthetician and Skin Care Specialist","469957","04137801"
"Aviation Institute of Maintenance-Freemont","420 Whitney Place, Freemont, California 94539","https://aviationmaintenance.edu/campuses/san-francisco-ca","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","278","278","65%","NA","Fall 2016","$23,998","-","486558","04240200"
"Bay Area Medical Academy","530 Bush Street #201, San Francisco, California 94108-3623","www.bamasf.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","101","101","72%","NA","2016-17","$23,549","Medical/Clinical Assistant","483878","04223700"
"Bay Area Medical Academy - San Jose Satellite Location","31 N 2nd Street, Suite 100, San Jose, California 95113","www.bamasf.com/","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","","","NA","NA","2016-17","NA","Medical/Clinical Assistant","48387801","04223701"
"Bellus Academy-Chula Vista","970 Broadway, Suite 110, Chula Vista, California 91911","www.bellusacademy.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","239","239","70%","NA","Fall 2016","$19,501","Barbering/Barber","109934","00705000"
"Bellus Academy-El Cajon","1073 E Main St, El Cajon, California 92021","www.bellusacademy.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","200","200","78%","NA","Fall 2016","$24,633","Master Aesthetician/Esthetician","116563","01202600"
"Bellus Academy-Poway","13266 Poway Rd, Poway, California 92064","www.bellusacademy.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","372","372","80%","NA","Fall 2016","$25,906","Master Aesthetician/Esthetician","377722","02343400"
"Beverly Hills Design Institute","8484 Wilshire Blvd Suite #730, Beverly Hills, California 90211","https://www.bhdi.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","16","16","67%","33%","Fall 2013","$35,201","-","475635","04185500"
"Beyond 21st Century Beauty Academy","13640 Imperial Hwy Ste 6-8, Santa Fe Springs, California 90670","beyondcosmo.com/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","86","86","50%","NA","2016-17","$13,097","Cosmetology/Cosmetologist, General","457253","04148200"
"Blake Austin College","611 Orange Dr Ste K, Vacaville, California 95687","blakeaustincollege.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Small","No","337","337","24%","2%","2016-17","$22,136","Licensed Practical/Vocational Nurse Training","447810","04003300"
"Blake Austin College Beauty Academy","1679 East  Monte Vista Avenue, Suite 200, Vacaville, California 95688-3123","blakeaustincollege.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Small","No","","","NA","NA","2016-17","NA","Cosmetology/Cosmetologist, General","44781001","04003301"
"Blush School of Makeup","One Embarcadero Center, Ste R-1206, San Francisco, California 94111-3628","https://blushschoolofmakeup.edu","< 2-year, Private for-profit","Less than one year certificate","City: Large","No","41","41","75%","NA","2016-17","$12,776","Make-Up Artist/Specialist","491482","04236700"
"Borner's Barber College","8913 S Western Ave, Los Angeles, California 90047","www.bornersbarbercollege.com","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","31","31","0%","NA","2016-17","$22,065","Barbering/Barber","454759","04137200"
"Brand College","529 Hahn Ave Ste 101, Glendale, California 91203","brandcollege.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","24","24","100%","NA","2016-17","NA","Information Technology","479992","04194600"
"Brownson Technical School","1110 Technology Cir Ste D, Anaheim, California 92805","https://brownson.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","53","53","85%","NA","2016-17","$29,267","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician","110194","02543400"
"California Aeronautical University","1450 Boughton Drive, Bakersfield, California 93308","www.calaero.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","Yes","230","224","23%","NA","Fall 2013","$33,534","-","433420","00998900"
"California Barber and Beauty College","5315 El Cajon Boulevard, San Diego, California 92115-4730","https://www.californiabarberandbeauty.com","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","62","62","33%","NA","2016-17","$9,849","Barbering/Barber","486497","04237800"
"California Beauty School","1115 15th St, Modesto, California 95354","www.calbeautycollege.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","105","105","74%","NA","2016-17","$13,565","Cosmetology/Cosmetologist, General","110875","02065700"
"California Career College","7003 Owensmouth Avenue, Canoga Park, California 91303-2006","www.californiacareercollege.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","117","117","NA","NA","Fall 2016","$51,827","Registered Nursing/Registered Nurse","447713","03974500"
"California Career Institute","1240 S State College BLVD Ste. 135, Anaheim, California 92806","www.calinstitute.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","147","147","71%","NA","2016-17","$29,735","Licensed Practical/Vocational Nurse Training","481386","04215100"
"California Career School","1100 Technology Cir, Anaheim, California 92805","www.californiacareerschool.edu","< 2-year, Private for-profit","Less than one year certificate","City: Large","No","","","94%","NA","2016-17","$5,934","Truck and Bus Driver/Commercial Vehicle Operator and Instructor","262402","02520200"
"California College of Barbering and Cosmetology","1024 E March Lane, Stockton, California 95210","calcbc.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","213","213","67%","NA","2016-17","$16,483","Cosmetology/Cosmetologist, General","492661","04277700"
"California Hair Design Academy","8011 University Avenue, Suite A-2, La Mesa, California 91942-5055","https://chdaschools.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","128","128","64%","12%","2016-17","$22,321","Cosmetology/Cosmetologist, General","111054","01186500"
"California Healing Arts College","500 East Carson Plaza Drive, Suite 103, Carson, California 90746-7323","www.chac.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","52","52","75%","NA","2016-17","$18,269","Veterinary/Animal Health Technology/Technician and Veterinary Assistant","442985","03681300"
"California Health Sciences University","120 North Clovis Avenue, Clovis, California 93612","https://chsu.edu","4-year, Private for-profit","Doctor's degree - professional practice","Suburb: Large","No","260","","NA","NA","Fall 2013","NA","-","488572",""
"California Institute of Arts & Technology","2820 Camino Del Rio South Suite 100, San Diego, California 92108-3822","www.ciat.edu","2-year, Private for-profit","Less than one year certificate|Associate's degree","City: Large","No","372","372","NA","NA","Fall 2016","$34,643","-","490285","04259800"
"California Institute of Medical Science","1175 Shaw Avenue # 103, Clovis, California 93612-0000","cims.edu","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","25","25","NA","NA","2016-17","$12,394","Clinical/Medical Laboratory Assistant","491507","04246200"
"California Intercontinental University","17310 Red Hill Ave. Suite 200, Irvine, California 92614-5636","https://www.caluniversity.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","No","412","130","NA","NA","Fall 2013","NA","-","485546","04244000"
"California Miramar University","3550 Camino Del Rio North, Suite 208, San Diego, California 92108","www.calmu.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","199","86","100%","NA","Fall 2013","$16,794","-","480781","04189700"
"California Nurses Educational Institute","5200 E. Ramon Rd. Suite I-1, Palm Springs, California 92264","https://www.cnei.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","217","217","82%","NA","2016-17","$16,030","Licensed Practical/Vocational Nurse Training","455734","03935300"
"California Technical Academy","1285 Columbia Ave, Riverside, California 92507","www.cta.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","715","715","88%","NA","2016-17","$29,493","Medical Administrative/Executive Assistant and Medical Secretary","483443","04221900"
"Cambridge Junior College-Yuba City","939 Live Oak Blvd, Yuba City, California 95991","www.cambridge.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Small","No","112","112","68%","NA","2016-17","$21,054","Medical/Clinical Assistant","446093","03874300"
"Capstone College","1200 N. Fair Oaks Ave Suite 32, Pasadena, California 91103","www.capstonecollege.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Midsize","No","59","59","76%","NA","2016-17","$13,104","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician","377759","03019900"
"Career Academy of Beauty","12471 Valley View, Garden Grove, California 92845","CAofB.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","159","159","80%","NA","2016-17","$16,190","Cosmetology/Cosmetologist, General","111513","02125000"
"Career Care Institute","43770 15th Street West Ste 115, Lancaster, California 93534","www.ccicolleges.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","640","640","66%","NA","Fall 2016","$30,116","Licensed Practical/Vocational Nurse Training","446118","03797400"
"Career Development Institute Inc","1830 S Robertson Blvd, Los Angeles, California 90035","cdi.edu/","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","127","127","50%","NA","2016-17","$21,749","Licensed Practical/Vocational Nurse Training","454801","04144200"
"Career Networks Institute","1610 E. Saint Andrew Place Suite 200, Santa Ana, California 92705","www.cnicollege.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","385","385","72%","NA","Fall 2013","$23,474","Registered Nursing/Registered Nurse","433013","03242300"
"Carrington College-Sacramento","8909 Folsom Blvd., Sacramento, California 95826","https://carrington.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","3261","3261","59%","NA","Fall 2016","$21,934","Medical/Clinical Assistant","125532","00974800"
"Central California School of Continuing Education","3195 McMillan Ste F, San Luis Obispo, California 93401","ccsce.org","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","188","188","85%","NA","Fall 2016","$18,422","-","419183","03097700"
"Central California School of Continuing Education -","139 North 5th Street, Coalinga, California 93210-1901","ccsce.org","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","Town: Distant","No","","","NA","NA","Fall 2016","NA","-","41918301","03097702"
"Central Coast College","480 S Main Street, Salinas, California 93901-3301","www.centralcoastcollege.edu","2-year, Private for-profit","Less than one year certificate|Associate's degree","City: Midsize","No","236","236","94%","NA","Fall 2016","$21,338","Medical/Clinical Assistant","378105","02602300"
"Chamberlain University-California","10971 Sun Center, Rancho Cordova, California 95670","https://www.chamberlain.edu/","4-year, Private for-profit","Bachelor's degree","City: Small","No","255","255","NA","NA","Fall 2013","NA","-","489353","00638520"
"Champion Institute of Cosmetology","611 S Palm Canyon Dr Ste 205, Palm Springs, California 92264","www.championcosmetology.com/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","","","NA","NA","2016-17","NA","Cosmetology/Cosmetologist, General","422190",""
"Cinta Aveda Institute","305 Kearny Street, San Francisco, California 94108-3204","www.cintaaveda.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","268","268","70%","NA","2016-17","$19,116","Cosmetology/Cosmetologist, General","461829","04180000"
"Cinta Aveda Institute - San Jose","111 West Saint Johns Street, San Jose, California 95113-0000","","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","","No","","","NA","NA","2016-17","NA","Cosmetology/Cosmetologist, General","46182901","04180001"
"Citrus Heights Beauty College","7518 Baird Way, Citrus Heights, California 95610-1410","chbeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","123","123","75%","NA","2016-17","$12,171","Cosmetology/Cosmetologist, General","112181","02178700"
"Coachella Valley Beauty College","79450 Highway 111, La Quinta, California 92253","www.cvbeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","58","58","59%","NA","2016-17","$9,119","Cosmetology/Cosmetologist, General","449393","04115300"
"Coachella Valley Beauty College-Hemet","3643 W. Florida Ave., Hemet, California 92545","cvbeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Midsize","No","84","84","89%","NA","2016-17","$9,627","Cosmetology/Cosmetologist, General","485412","04115301"
"Coastline Beauty College","16151 Harbor Blvd, Fountain Valley, California 92708","www.coastlinebeauty.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","172","172","94%","NA","2016-17","$11,461","Nail Technician/Specialist and Manicurist","450988","04092300"
"Coba Academy","663 N. Euclid Street, Anaheim, California 92801","www.coba.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","81","81","63%","NA","2016-17","$19,599","Cosmetology/Cosmetologist, General","112455","03577300"
"Cogswell University of Silicon Valley","191 Baypointe Parkway, San Jose, California 95134","https://cogswell.edu","4-year, Private for-profit","Bachelor's degree|Master's degree","City: Large","Yes","552","542","55%","14%","Fall 2013","$28,103","-","112394","00117700"
"Colleen O'Haras Beauty Academy","109 W 4th St, Santa Ana, California 92701-0000","colleenoharasbeautyacademy.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","14","14","64%","NA","2016-17","$29,876","Cosmetology/Cosmetologist, General","420608","02220000"
"Concorde Career College-Garden Grove","12951 Euclid Street, Suite 101, Garden Grove, California 92840-9201","https://www.concorde.edu/campus/garden-grove-california","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","589","589","82%","NA","Fall 2016","$23,149","Practical Nursing, Vocational Nursing and Nursing Assistants, Other","123679","00807100"
"Concorde Career College-North Hollywood","12412 Victory Boulevard, North Hollywood, California 91606-3134","https://www.concorde.edu/campus/north-hollywood-california","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","601","601","73%","NA","Fall 2016","$25,812","Practical Nursing, Vocational Nursing and Nursing Assistants, Other","124937","00760700"
"Concorde Career College-San Bernardino","201 East Airport Drive, Suite A, San Bernardino, California 92408-3403","https://www.concorde.edu/campus/san-bernardino-california","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","572","572","77%","NA","Fall 2016","$21,215","Medical/Clinical Assistant","124706","00853700"
"Concorde Career College-San Diego","4393 Imperial Avenue, Suite 100, San Diego, California 92113-1964","https://www.concorde.edu/campus/san-diego-california","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","730","730","77%","NA","Fall 2016","$26,979","Licensed Practical/Vocational Nurse Training","120661","00793000"
"Contra Costa Medical Career College","4041 Lone Tree Way, Antioch, California 94581-6208","www.ccmcc.edu","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","Suburb: Large","No","701","701","100%","NA","Fall 2016","NA","Medical/Clinical Assistant","491950","04274900"
"Cosmo Beauty Academy","3500 Fulton Avenue, Sacramento, California 95821-6800","www.cosmobeautyacademy.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","118","118","100%","NA","2016-17","NA","Cosmetology/Cosmetologist, General","459189",""
"CRU Institute of Cosmetology and Barbering","11889 Valley View St Suite C, Garden Grove, California 92845-4321","www.cruinstitute.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","65","65","61%","NA","2016-17","$13,714","Barbering/Barber","371830","02494800"
"DeHart Technical School","311 Bitritto Way, Modesto, California 95356-9292","www.deharttechnicalschool.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","79","79","NA","NA","2016-17","NA","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician","488192","04248200"
