"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"San Francisco Film School","155 Sansome Street 2nd Floor, San Francisco, California 94104-2835","www.filmschoolsf.com","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","38","38","86%","NA","Fall 2016","$30,852","Cinematography and Film/Video Production","486372","04234000"
"San Francisco Institute of Esthetics & Cosmetology Inc","1067 Folsom St, San Francisco, California 94103","www.sfiec.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","174","174","63%","NA","2016-17","$23,334","Cosmetology/Cosmetologist, General","454777","04141300"
"SAN FRANCISCO LAW SCHOOL","1475 66th Street, Emeryville, California 94608","https://www.alliant.edu","4-year, Private for-profit","Doctor's degree - professional practice","City: Large","","","","NA","NA","Fall 2013","NA","-","11046806",""
"San Joaquin Valley College - Atascadero","8845 El Camino Real, Atascadero, California 93422-5333","www.sjvc.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Small","No","","","NA","NA","Fall 2016","NA","Medical/Clinical Assistant","12268516","02120716"
"San Joaquin Valley College - Bakersfield","201 New Stine Rd., Bakersfield, California 93309-4523","www.sjvc.edu/","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","","","NA","NA","Fall 2016","NA","Respiratory Care Therapy/Therapist","12268503","02120703"
"San Joaquin Valley College - Delano","1920 Cecil Avenue, Delano, California 93215-9691","www.sjvc.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Small","No","","","NA","NA","Fall 2016","NA","Medical/Clinical Assistant","12268515","02120714"
"San Joaquin Valley College - Fresno","295 E Sierra Ave, Fresno, California 93710-3616","www.sjvc.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","","","NA","NA","Fall 2016","NA","Veterinary/Animal Health Technology/Technician and Veterinary Assistant","12268504","02120701"
"San Joaquin Valley College - Fresno Trades Education Center","4985 E Anderson Ave, Fresno, California 93727-3616","www.sjvc.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","","","NA","NA","Fall 2016","NA","Airframe Mechanics and Aircraft Maintenance Technology/Technician","12268505","02120702"
"San Joaquin Valley College - Hanford","215 West 7th Street, Hanford, California 93230-4523","www.sjvc.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Small","No","","","NA","NA","Fall 2016","NA","Medical/Clinical Assistant","12268501","02120705"
"San Joaquin Valley College - Hesperia","9331 Mariposa Rd, Hesperia, California 92344-3616","www.sjvc.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Rural: Fringe","No","","","NA","NA","Fall 2016","NA","Medical/Clinical Assistant","12268510","02120708"
"San Joaquin Valley College - Lancaster","42135 10th Street West, Lancaster, California 93534-7018","www.sjvc.edu/","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","","","NA","NA","Fall 2016","NA","Medical/Clinical Assistant","12268512","02120711"
"San Joaquin Valley College - Madera","2185-J West Cleveland Avenue, Madera, California 93637-8724","www.sjvc.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Small","No","","","NA","NA","Fall 2016","NA","Medical/Clinical Assistant","12268514","02120713"
"San Joaquin Valley College - Modesto","5380 Pirrone Rd., Salida, California 95368-3616","www.sjvc.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","","","NA","NA","Fall 2016","NA","Medical/Clinical Assistant","12268507","02120706"
"San Joaquin Valley College - Online","8344 W. Mineral King Blvd., Visalia, California 93291-4523","www.sjvc.edu","4-year, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Rural: Fringe","No","","","NA","NA","Fall 2013","NA","Medical/Clinical Assistant","12268502","02120700"
"San Joaquin Valley College - Ontario","4580 Ontario Mills Parkway, Ontario, California 91764-3616","sjvc.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Midsize","No","","","NA","NA","Fall 2016","NA","Respiratory Care Therapy/Therapist","12268506","02120704"
"San Joaquin Valley College - Rancho Cordova","11000 Olson Dr Ste 100, Rancho Cordova, California 95670-3616","www.sjvc.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Small","No","","","NA","NA","Fall 2016","NA","Respiratory Care Therapy/Therapist","12268508","02120707"
"San Joaquin Valley College - San Diego","333 H Street Suite 1065, Chula Vista, California 91910-5557","www.sjvc.edu/","2-year, Private for-profit","Associate's degree","Suburb: Large","No","","","NA","NA","Fall 2016","NA","Dental Hygiene/Hygienist","12268513",""
"San Joaquin Valley College - Temecula","27270 Madison Ave Ste 103, Temecula, California 92590-3616","www.sjvc.edu/","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Midsize","No","","","NA","NA","Fall 2016","NA","Medical/Clinical Assistant","12268511","02120709"
"San Joaquin Valley College-Visalia","8344 W Mineral King Ave, Visalia, California 93291-9283","www.sjvc.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Rural: Fringe","No","6621","6621","54%","NA","Fall 2013","$25,516","Respiratory Care Therapy/Therapist","122685","02120700"
"San Jose Campus","1885 Lundy Avenue, Suite 108, San Jose, California 95131","www.fivebranches.edu","4-year, Private for-profit","Master's degree|Doctor's degree - professional practice","City: Large","","","","NA","NA","Fall 2013","NA","-","11458501","03131301"
"Santa Ana Beauty Academy","2231 North Tustin Avenue, Santa Ana, California 92705-7820","www.saba-ca.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","24","24","100%","NA","2016-17","$16,870","Cosmetology/Cosmetologist, General","461500","04173400"
"Santa Ana Beauty College","1926 West 17th Street, Santa Ana, California 92706-2321","www.savcusa.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","101","101","93%","NA","2016-17","$4,455","Cosmetology/Cosmetologist, General","481128","04190800"
"Santa Barbara Business College - Ventura","4839 Market Street, Ventura, California 93003-8053","https://sbbcollege.edu","4-year, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Midsize","No","","","NA","NA","Fall 2013","NA","-","43342002","00998905"
"Santa Barbara Business College-Bakersfield","5300 California Avenue, Bakersfield, California 93309","sbbcollege.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Large","No","309","308","56%","2%","Fall 2013","$15,353","-","122834","02577900"
"Santa Barbara Business College-Santa Maria","303 E Plaza Dr Ste 1, Santa Maria, California 93454","sbbcollege.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","89","89","52%","5%","Fall 2013","$15,312","-","122852","02578000"
"Shasta School of Cosmetology","678 N Market St, Redding, California 96003","www.shastaschoolofcosmetology.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","37","37","62%","NA","2016-17","$10,359","Cosmetology/Cosmetologist, General","121637","04161700"
"Sierra College of Beauty","1340 W 18th St, Merced, California 95340","sierrabeautycollege.net","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","138","138","90%","1%","2016-17","$10,902","Cosmetology/Cosmetologist, General","123350","02064300"
"Sofia University","1069 East Meadow Cr, Palo Alto, California 94303","www.sofia.edu","4-year, Private for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Small","No","1349","9","NA","NA","Fall 2013","NA","-","110778","02267600"
"South Coast College","2011 W. Chapman Avenue, Orange, California 92868-2609","www.southcoastcollege.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","226","226","33%","10%","Fall 2016","$16,767","-","123642","02277400"
"Southern California Health Institute","5644 Vineland Ave, North Hollywood, California 91601","www.sochi.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","301","301","75%","NA","2016-17","$20,682","Physical Therapy Technician/Assistant","461856","04181200"
"Southern California Health Institute (SOCHI) - North Hollywood","5644-5646 Vineland Avenue, North Hollywood, California 91601-2028","","< 2-year, Private for-profit","One but less than two years certificate","","No","","","NA","NA","2016-17","NA","Massage Therapy/Therapeutic Massage","46185601","04181201"
"Southern California Institute of Technology","525 N. Muller Street, Anaheim, California 92801-3758","https://www.scitech.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","607","607","78%","1%","Fall 2013","$24,671","-","399869","03113600"
"Southern States University","1094 Cuhady Place, #120, San Diego, California 92110","www.ssu.edu/","4-year, Private for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","No","405","94","50%","NA","Fall 2013","NA","-","490063","04195500"
"Spartan College of Aeronautics & Technology","8911 Aviation Blvd, Inglewood, California 90301-2904","www.spartan.edu","2-year, Private for-profit","Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","415","415","95%","NA","Fall 2016","$24,890","Airframe Mechanics and Aircraft Maintenance Technology/Technician","413680","02596400"
"Spartan College of Aeronautics and Technology","4130 Mennes Ave, Riverside, California 92509-8716","www.spartan.edu","2-year, Private for-profit","Two but less than 4 years certificate","Suburb: Large","No","190","190","89%","NA","Fall 2016","$29,084","Airframe Mechanics and Aircraft Maintenance Technology/Technician","489371","02596413"
"Stanbridge University","2041 Business Ctr Dr Ste 107, Irvine, California 92612","www.stanbridge.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Master's degree","City: Large","No","1364","1171","68%","NA","Fall 2013","$25,054","Licensed Practical/Vocational Nurse Training","446561","03889300"
"Stellar Career College","4300 Sisk Rd, Modesto, California 95356","www.stellarcollege.edu","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","32","32","83%","NA","2016-17","$11,274","Medical Administrative/Executive Assistant and Medical Secretary","444529","03759300"
"Summit College","804 E Brier Dr, San Bernardino, California 92408","https://www.summitcollege.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","1085","1085","73%","NA","2016-17","$24,865","Practical Nursing, Vocational Nursing and Nursing Assistants, Other","400080","03108100"
"Thanh Le College School of Cosmetology","12875 chapman ave, Garden Grove, California 92840","WWW.thanhlecollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","32","32","76%","NA","2016-17","$23,418","Cosmetology/Cosmetologist, General","368832","02236400"
"The Academy of Radio and TV Broadcasting","16052 Beach Blvd St 263n, Huntington Beach, California 92647","WWW.ARBRADIO.COM","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","","","NA","NA","2016-17","NA","Radio and Television","108348",""
"The Fab School","9571 Pittsburgh Avenue, Rancho Cucamonga, California 91730","thefabschool.edu","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","148","148","98%","NA","2016-17","$33,694","Metal Fabricator","483230","04222200"
"The Salon Professional Academy-San Jose","1600 Saratoga Avenue, Suite 103, San Jose, California 95129-5101","www.tspasanjose.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","174","174","83%","NA","2016-17","$15,350","Cosmetology/Cosmetologist, General","484206","04237100"
"Theatre of Arts","6767 sunset Blvd suite 210, Hollywood, California 90028-6111","www.toa.edu","2-year, Private for-profit","Associate's degree","City: Large","No","28","28","27%","NA","Fall 2016","$33,119","-","486123","04158800"
