"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Cerro Coso Community College","3000 College Heights Blvd, Ridgecrest, California 93555-9571","cerrocoso.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","5607","5607","25%","9%","Fall 2016","$10,070","-","111896","01011100"
"Chabot College","25555 Hesperian Blvd, Hayward, California 94545","www.chabotcollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","13522","13522","31%","13%","Fall 2016","$7,005","-","111920","00116200"
"Chaffey College","5885 Haven Ave, Rancho Cucamonga, California 91737-3002","https://www.chaffey.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","22731","22731","26%","9%","Fall 2016","$11,937","-","111939","00116300"
"Charles A Jones Career and Education Center","5451 Lemon Hill Ave, Sacramento, California 95824-1529","www.caj.scusd.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","243","243","82%","NA","Fall 2016","$10,525","Pharmacy Technician/Assistant","123493","00950900"
"Citrus College","1000 W Foothill Blvd, Glendora, California 91741-1899","https://www.citruscollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","13130","13130","38%","9%","Fall 2016","$5,194","-","112172","00116600"
"City College of San Francisco","50 Frida Kahlo Drive, San Francisco, California 94112-1898","www.ccsf.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","24441","24441","35%","9%","Fall 2016","$5,571","-","112190","00450200"
"Clovis Adult Education","1452 David E Cook Way, Clovis, California 93611","clovisadult.cusd.com","< 2-year, Public","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","671","671","69%","NA","2016-17","$16,583","Licensed Practical/Vocational Nurse Training","112367","02309500"
"Clovis Community College","10309 North Willow Avenue, Fresno, California 93730","www.cloviscollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","8454","8454","38%","6%","Fall 2016","$4,432","-","489201","04253400"
"Coastline Community College","11460 Warner Ave., Fountain Valley, California 92708-2597","www.coastline.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","No","10822","10822","23%","10%","Fall 2016","$8,882","-","112385","02063500"
"College of Alameda","555 Ralph Appezzato Memorial Pky, Alameda, California 94501","alameda.peralta.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","5667","5667","27%","13%","Fall 2016","$7,869","-","108667","00672000"
"College of Marin","835 College Ave, Kentfield, California 94904-2590","www.marin.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","5182","5182","35%","14%","Fall 2016","$8,593","-","118347","00117800"
"College of San Mateo","1700 W Hillsdale Blvd, San Mateo, California 94402-3784","www.collegeofsanmateo.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","8163","8163","42%","9%","Fall 2016","$4,639","-","122791","00118100"
"College of the Canyons","26455 Rockwell Canyon Rd, Santa Clarita, California 91355-1899","www.canyons.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","19089","19089","38%","13%","Fall 2016","$6,538","-","111461","00890300"
"College of the Desert","43-500 Monterey Ave, Palm Desert, California 92260","www.collegeofthedesert.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","No","11919","11919","28%","4%","Fall 2016","$12,270","-","113573","00118200"
"College of the Redwoods","7351 Tompkins Hill Rd, Eureka, California 95501-9300","www.redwoods.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Rural: Fringe","Yes","4665","4665","25%","14%","Fall 2016","$6,665","-","121707","00118500"
"College of the Sequoias","915 S. Mooney Blvd, Visalia, California 93277-2214","www.cos.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","12815","12815","29%","5%","Fall 2016","$2,264","-","123217","00118600"
"College of the Siskiyous","800 College Ave, Weed, California 96094-2899","www.siskiyous.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","1761","1761","20%","18%","Fall 2016","$9,073","-","123484","00118700"
"Columbia College","11600 Columbia College Dr, Sonora, California 95370","www.gocolumbia.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","2616","2616","25%","14%","Fall 2016","$10,983","-","112561","00770700"
"Compton College","1111 East Artesia Blvd., Compton, California 90221-5393","www.compton.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","5760","5760","17%","12%","Fall 2016","$12,173","-","112686","04281700"
"Contra Costa College","2600 Mission Bell Dr, San Pablo, California 94806-3195","https://www.contracosta.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","7127","7127","29%","9%","Fall 2016","$7,585","-","112826","00119000"
"Copper Mountain Community College","6162 Rotary Way, Joshua Tree, California 92252","www.cmccd.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Distant","No","1533","1533","24%","17%","Fall 2016","$6,511","-","395362","03542400"
"Cosumnes River College","8401 Center Parkway, Sacramento, California 95823-5799","https://www.crc.losrios.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","14398","14398","27%","7%","Fall 2016","$6,081","-","113096","00753600"
"Crafton Hills College","11711 Sand Canyon Road, Yucaipa, California 92339-1799","www.craftonhills.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Rural: Fringe","No","6749","6749","29%","7%","Fall 2016","$16,771","-","113111","00927200"
"Cuesta College","Highway 1, San Luis Obispo, California 93403-8106","https://www.cuesta.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Small","No","11281","11281","38%","10%","Fall 2016","$10,860","-","113193","00119200"
"Cuyamaca College","900 Rancho San Diego Pky, El Cajon, California 92019","https://www.cuyamaca.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","8697","8697","31%","12%","Fall 2016","$4,368","-","113218","02111300"
"Cypress College","9200 Valley View, Cypress, California 90630-5897","www.cypresscollege.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Suburb: Large","No","15679","15679","33%","19%","Fall 2013","$5,580","-","113236","00119300"
"De Anza College","21250 Stevens Creek Blvd., Cupertino, California 95014","www.deanza.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","18669","18669","65%","5%","Fall 2016","$6,238","-","113333","00448000"
"Diablo Valley College","321 Golf Club Rd, Pleasant Hill, California 94523","https://www.dvc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","19871","19871","48%","10%","Fall 2016","$7,311","-","113634","00119100"
"Downey Adult School","12340 Woodruff Ave, Downey, California 90241","www.das.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","613","613","97%","NA","Fall 2016","$9,019","Medical/Clinical Assistant","371690","00563800"
"East Los Angeles College","1301 Avenida Cesar Chavez, Monterey Park, California 91754-6099","www.elac.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","36885","36885","38%","5%","Fall 2016","$11,015","-","113856","02226000"
"East San Gabriel Valley Regional Occupational Program","1501 W Del Norte St., West Covina, California 91790","www.esgvrop.org","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","108","108","83%","NA","Fall 2016","$14,714","Medical/Clinical Assistant","413802","03116600"
"El Camino Community College District","16007 Crenshaw Blvd, Torrance, California 90506","www.elcamino.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","24223","24223","35%","10%","Fall 2016","$11,719","-","113980","00119700"
"Escondido Adult School","220 W Crest Street, Escondido, California 92025","www.escondidoadultschool.org","< 2-year, Public","Less than one year certificate","Suburb: Large","No","109","109","NA","NA","2016-17","NA","-","492306",""
"Evergreen Valley College","3095 Yerba Buena Rd, San Jose, California 95135-1598","www.evc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","9774","9774","28%","8%","Fall 2016","$14,076","-","114266","01245200"
"Feather River Community College District","570 Golden Eagle Ave, Quincy, California 95971-9124","www.frc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Rural: Fringe","Yes","2058","2058","27%","42%","Fall 2013","$10,978","-","114433","00859700"
