"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"California College San Diego","277 Rancheros Drive, Suite 200, San Marcos, California 92069-2971","www.cc-sd.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","250","250","43%","NA","Fall 2013","$24,762","-","478634","02110802"
"California Institute of Advanced Management","1000 S. Fremont Ave. Mailbox #45, Bldg A10, 4th Floor, Suite 10402, Alhambra, California 91803","ciam.edu","4-year, Private not-for-profit","Master's degree","Suburb: Large","No","151","","NA","NA","Fall 2013","NA","Business Administration and Management, General","487649","04250600"
"California Institute of Integral Studies","1453 Mission Street, San Francisco, California 94103","www.ciis.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","No","1476","69","NA","NA","Fall 2013","NA","-","110316","01215400"
"California Institute of Technology","1200 E California Blvd, Pasadena, California 91125","www.caltech.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","2237","938","94%","4%","Fall 2013","$27,438","-","110404","00113100"
"California Institute of the Arts","24700 W McBean Pky, Valencia, California 91355-2397","https://www.calarts.edu","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","1520","1021","61%","16%","Fall 2013","$54,594","-","111081","00113200"
"California International Business University","550 West B Street, San Diego, California 92101","www.cibu.edu","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","34","15","94%","NA","Fall 2013","NA","-","483586","04234700"
"California Jazz Conservatory","2087 Addison Street, Berkeley, California 94704-1268","www.cjc.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","No","47","47","0%","NA","Fall 2013","$15,882","-","486488","04237600"
"California Lutheran University","60 W Olsen Rd, Thousand Oaks, California 91360-2787","www.callutheran.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Midsize","Yes","4303","3078","68%","9%","Fall 2013","$29,693","-","110413","00113300"
"California University of Management and Sciences","1126 N Brookhurst Street, Suite 200, Anaheim, California 92801","www.calums.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","No","","","NA","NA","Fall 2013","NA","-","460075",""
"California Western School of Law","225 Cedar St, San Diego, California 92101-3046","https://www.cwsl.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Large","No","793","","NA","NA","Fall 2013","NA","-","111391","01310300"
"Casa Loma College-Van Nuys","6725 Kester Ave, Van Nuys, California 91405","https://www.casalomacollege.edu","2-year, Private not-for-profit","Associate's degree","City: Large","No","162","162","34%","NA","Fall 2016","$17,673","Magnetic Resonance Imaging (MRI) Technology/Technician","111638","00673100"
"CBD College","3699 Wilshire Blvd., Fourth Floor, Los Angeles, California 90010","www.cbd.edu","2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","788","788","76%","NA","Fall 2016","$22,690","Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","439367","03250300"
"CES College","401 S. Glenoaks Blvd. Suite 211, Burbank, California 91502-2750","www.cescollege.edu","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","126","126","67%","NA","2016-17","$23,286","Licensed Practical/Vocational Nurse Training","444510","03695300"
"CET-Coachella","49-111 Highway 111, Ste. 5, Coachella, California 92236","https://cetweb.edu","< 2-year, Private not-for-profit","One but less than two years certificate","Suburb: Large","No","79","79","82%","NA","2016-17","$4,359","Building Construction Technology","381255","02332806"
"CET-Colton","1099 N. Pepper Ave, Colton, California 92324","https://cetweb.edu","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","166","166","63%","NA","2016-17","$15,900","Welding Technology/Welder","111744","02332814"
"CET-El Centro","294 S 3rd St, El Centro, California 92243","https://cetweb.edu","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","217","217","84%","NA","2016-17","$7,485","Welding Technology/Welder","111726","02332810"
"CET-Oxnard","761 South C St, Oxnard, California 93030","https://cetweb.edu","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","107","107","64%","NA","2016-17","$11,963","Medical/Clinical Assistant","381282","02332807"
"CET-Salinas","24 East Alvin Drive, Salinas, California 93906","https://cetweb.edu","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","144","144","68%","NA","2016-17","$10,553","Medical/Clinical Assistant","111799","02332813"
"CET-San Diego","4153 Market Street, San Diego, California 92102","www.cetweb.edu","< 2-year, Private not-for-profit","One but less than two years certificate","City: Large","No","170","170","68%","NA","2016-17","$18,734","Welding Technology/Welder","111708","02332809"
"CET-San Jose","701 Vine St, San Jose, California 95110","https://cetweb.edu","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","229","229","71%","NA","2016-17","$15,968","Electrician","111717","02332800"
"CET-Santa Maria","509 W Morrison Ave, Santa Maria, California 93458","https://www.cetweb.edu","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","135","135","90%","NA","2016-17","$10,491","Medical/Clinical Assistant","381325","02332803"
"CET-Soledad","930 Los Coches Drive, Suite 103, Soledad, California 93960-2996","https://cetweb.edu","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","Town: Distant","No","129","129","72%","NA","2016-17","$9,471","Electrician","468769","02332868"
"CET-Watsonville","10 Blanca Lane, Watsonville, California 95076","https://www.cetweb.edu","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","116","116","71%","NA","2016-17","$9,949","Medical Office Assistant/Specialist","111762","02332819"
"Chapman University","One University Dr., Orange, California 92866","https://www.chapman.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","9850","7505","81%","NA","Fall 2013","$43,767","-","111948","00116400"
"Charles R Drew University of Medicine and Science","1731 E 120th St, Los Angeles, California 90059","www.cdrewu.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Suburb: Large","No","748","198","75%","NA","Fall 2013","$16,103","-","111966","01036500"
"Church Divinity School of the Pacific","2451 Ridge Road, Berkeley, California 94709-1211","www.cdsp.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Midsize","Yes","75","","NA","NA","Fall 2013","NA","-","112127","00116500"
"Claremont Graduate University","150 E Tenth St, Claremont, California 91711-6160","www.cgu.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","1950","","NA","NA","Fall 2013","NA","-","112251","00116900"
"Claremont Lincoln University","150 West First Street, Claremont, California 91711-4744","https://claremontlincoln.edu","4-year, Private not-for-profit","Master's degree","Suburb: Large","No","254","","NA","NA","Fall 2013","NA","-","488387","04253600"
"Claremont McKenna College","500 E 9th St, Claremont, California 91711-6400","www.cmc.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Large","Yes","1346","1343","91%","NA","Fall 2013","$24,456","-","112260","00117000"
"Claremont School of Theology","1325 N College Ave, Claremont, California 91711-3199","www.cst.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","331","","NA","NA","Fall 2013","NA","-","124283","00128800"
"Columbia College - Imperial","380 E. Aten Road, Imperial, California 92251-0158","www.ccis.edu","4-year, Private not-for-profit","Bachelor's degree","","No","","","NA","NA","Fall 2013","NA","-","17706536","00245652"
"Columbia College - Lemoore","Building 826 Hancock Circle, NAS Lemoore, California 93246-0001","www.ccis.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree","Town: Fringe","No","","","NA","NA","Fall 2013","NA","-","17706521","00245636"
"Columbia College - Los Alamitos","11206 Lexington Avenue, Suite 110 Building 244 Joint Forces Training Base, Los Alamitos, California 90720-5177","www.ccis.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","","","NA","NA","Fall 2013","NA","-","17706519","00245629"
"Columbia College - Naval Base San Diego","3975 Norman Scott Road Building 3280, Room B103, San Diego, California 92136-5588","www.ccis.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","","No","","","NA","NA","Fall 2013","NA","-","17706535","00245651"
"Columbia College - San Diego","4025 Tripoli Avenue Building 111, San Diego, California 92140-5290","www.ccis.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","No","","","NA","NA","Fall 2013","NA","-","17706532","00245648"
"Columbia College - San Luis Obispo","Building 2700  at Cuesta College, San Luis Obispo, California 93403-8106","www.ccis.edu","4-year, Private not-for-profit","Bachelor's degree","Suburb: Small","No","","","NA","NA","Fall 2013","NA","-","17706522","00245637"
"Columbia College Hollywood","18618 Oxnard St, Tarzana, California 91356-1411","https://www.columbiacollege.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","No","870","870","49%","NA","Fall 2013","$28,804","-","112570","02110200"
"Community Christian College","1174 Nevada Street, Suite 200, Redlands, California 92374-2893","https://www.cccollege.edu","2-year, Private not-for-profit","Associate's degree","City: Small","No","203","203","33%","50%","Fall 2016","$19,231","-","446163","03874400"
"Concordia University-Irvine","1530 Concordia West, Irvine, California 92612-3203","www.cui.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","Yes","3911","1738","63%","NA","Fall 2013","$28,435","-","112075","02070500"
"Culinary Institute of America at Greystone","2555 Main St, St. Helena, California 94574","www.ciachef.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Master's degree","Town: Fringe","Yes","","","NA","NA","Fall 2013","NA","-","19050301","00730401"
