OPE ID,School,Total Allocation ($),Minimum Allocation to be Awarded for Emergency Financial Aid Grants to Students ($),Address,Type,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate
3440400,Marian Health Careers Center,"575,634.00","287,817.00","3325 Wilshire Blvd Ste 1010, Los Angeles, California 90010","< 2-year, Private for-profit",210.0,210.0,55%,
4115600,Mayfield College,"564,629.00","282,315.00","35-325 Date Palm Dr Ste 101, Cathedral City, California 92234","2-year, Private for-profit",468.0,468.0,84%,
3027700,Pacific College Of Oriental Medicine,"561,804.00","280,902.00","7445 Mission Valley Rd Ste 105, San Diego, California 92108-4407","4-year, Private for-profit",1036.0,185.0,40%,
4162800,Paul Mitchell The School Modesto,"553,609.00","276,805.00","3100 McHenry Ave, Modesto, California 95350","< 2-year, Private for-profit",298.0,298.0,76%,
3043900,Newschool Of Architecture And Design,"553,090.00","276,545.00","1249 F St, San Diego, California 92101","4-year, Private for-profit",497.0,394.0,43%,
2185800,Moler Barber College,"551,182.00","275,591.00","3815 Telegraph Ave, Oakland, California 94609-2419","< 2-year, Private for-profit",279.0,279.0,63%,3%
4165900,Paul Mitchell The School Fresno,"550,245.00","275,123.00","5091 N Fresno Street Ste 104, Fresno, California 93710","< 2-year, Private for-profit",311.0,311.0,74%,
3098700,Milan Institute,"549,033.00","274,517.00","75-030 Gerald Ford Drive, Suite 203, Palm Desert, California 92211","< 2-year, Private for-profit",139.0,139.0,55%,
1186600,Lu Ross Academy,"547,287.00","273,644.00","470 East Thompson Blvd, Ventura, California 93001-2729","< 2-year, Private for-profit",215.0,215.0,68%,
117400,Scripps College,"546,083.00","273,042.00","1030 North Columbia Avenue, Claremont, California 91711-3905","4-year, Private not-for-profit",1109.0,1089.0,90%,
2255400,Toni&Guy Hairdressing Academy,"545,266.00","272,633.00","464 N. Fairfax Ave, Los Angeles, California 90036","< 2-year, Private for-profit",191.0,191.0,64%,
1309500,Salon Success Academy,"543,888.00","271,944.00","2097 Compton Ave. Suite 201, Corona, California 92881","< 2-year, Private for-profit",116.0,116.0,94%,
705000,Bellus Academy,"539,166.00","269,583.00","970 Broadway, Suite 110, Chula Vista, California 91911","2-year, Private for-profit",239.0,239.0,70%,
725300,Federico Beauty Institute,"538,895.00","269,448.00","1515 Sports Drive    Ste 100, Sacramento, California 95834","< 2-year, Private for-profit",326.0,326.0,78%,
117100,Harvey Mudd College,"516,332.00","258,166.00","301 Platt Blvd., Claremont, California 91711","4-year, Private not-for-profit",904.0,904.0,92%,6%
4240200,Aviation Institute Of Maintenance,"512,166.00","256,083.00","420 Whitney Place, Freemont, California 94539","2-year, Private for-profit",278.0,278.0,65%,
4180000,Cinta Aveda Institute,"493,584.00","246,792.00","305 Kearny Street, San Francisco, California 94108-3204","< 2-year, Private for-profit",268.0,268.0,70%,
903200,Empire College,"490,975.00","245,488.00","3035 Cleveland Ave, Santa Rosa, California 95403-2126","4-year, primarily associate's, Private for-profit",371.0,299.0,57%,
120500,Golden Gate University,"464,148.00","232,074.00","536 Mission Street, San Francisco, California 94105-2968","4-year, Private not-for-profit",2432.0,511.0,,
3736300,Advance Beauty College,"458,495.00","229,248.00","10121 Westminster Ave, Garden Grove, California 92843","< 2-year, Private for-profit",507.0,507.0,92%,
4158200,Paul Mitchell The School Sherman Oaks,"446,039.00","223,020.00","15301 Ventura Blvd Unit P2, Sherman Oaks, California 91403","< 2-year, Private for-profit",267.0,267.0,76%,
720300,Salon Success Academy,"434,633.00","217,317.00","1385 E. Foothill Blvd, Upland, California 91786","< 2-year, Private for-profit",164.0,164.0,73%,
3590400,Ntma Training Centers Of Southern California,"427,969.00","213,985.00","12131 Telegraph Road, Santa Fe Springs, California 90670","< 2-year, Private not-for-profit",146.0,146.0,82%,
1203100,San Diego Christian College,"421,905.00","210,953.00","200 Riverview Parkway, Santee, California 92071","4-year, Private not-for-profit",551.0,488.0,53%,
122900,Southern California University Of Health Sciences,"401,546.00","200,773.00","16200 East Amber Valley Drive, Whittier, California 90604","4-year, Private not-for-profit",1386.0,746.0,,
121200,Humphreys University,"398,142.00","199,071.00","6650 Inglewood Ave, Stockton, California 95207-3896","4-year, Private not-for-profit",486.0,309.0,44%,28%
2591600,North-West College,"393,842.00","196,921.00","14540 Haynes, Van Nuys, California 91411","< 2-year, Private for-profit",198.0,198.0,9%,
565500,Hacienda La Puente Adult Education,"388,304.00","194,152.00","14101 E. Nelson Ave, La Puente, California 91746-0002","2-year, Public",812.0,812.0,91%,
3225300,American University Of Health Sciences,"384,752.00","192,376.00","1600 East Hill St, Signal Hill, California 90755-3612","4-year, Private for-profit",384.0,359.0,33%,
2277400,South Coast College,"366,087.00","183,044.00","2011 W. Chapman Avenue, Orange, California 92868-2609","2-year, Private for-profit",226.0,226.0,33%,10%
950900,Charles A. Jones Career And Education Center,"365,709.00","182,855.00","5451 Lemon Hill Ave, Sacramento, California 95824-1529","2-year, Public",243.0,243.0,82%,
1036500,Charles R. Drew University Of Medicine And Science,"360,477.00","180,239.00","1731 E 120th St, Los Angeles, California 90059","4-year, Private not-for-profit",748.0,198.0,75%,
4175200,Paul Mitchell The School East Bay,"355,653.00","177,827.00","100 Crescent Dr., Suite D, Pleasant Hill, California 94523","< 2-year, Private for-profit",128.0,128.0,66%,
4138700,Paul Mitchell The School - Pasadena,"354,896.00","177,448.00","825 E Green Street, Pasadena, California 91101","< 2-year, Private for-profit",237.0,237.0,92%,
2358000,Thomas Aquinas College,"354,873.00","177,437.00","10,000 Ojai Road, Santa Paula, California 93060","4-year, Private not-for-profit",439.0,439.0,84%,
1215400,California Institute Of Integral Studies,"352,356.00","176,178.00","1453 Mission Street, San Francisco, California 94103","4-year, Private not-for-profit",1476.0,69.0,,
